Id,Label,timeset,node,node_type,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Treshold_01
smartdissent,smartdissent,,Source,Twitter,0,1,1,0,60,60,1,1,1,0,0
smarter_growth,smarter_growth,,Source,Twitter,0,1,1,0,2,2,1,1,1,0,0
SmarterReach,SmarterReach,,Source,Twitter,0,1,1,0,2,2,1,1,1,0,0
SmartGrowthUSA,SmartGrowthUSA,,Source,Twitter,0,3,3,0,6,6,1,1,1,0,0
t4america.org,t4america.org,,Target,Web_Domain,2,0,2,3,0,3,0,0,0,0,0
SmartGuyInATie,SmartGuyInATie,,Source,Twitter,0,1,1,0,2,2,1,1,1,0,0
smartserve,smartserve,,Source,Twitter,0,1,1,0,1,1,1,1,1,0,0
smartwatermag,smartwatermag,,Source,Twitter,0,1,1,0,8,8,1,1,1,0,0
SmbsF,SmbsF,,Source,Twitter,0,1,1,0,1,1,1,1,1,0,0
SMEAatUW,SMEAatUW,,Source,Twitter,0,1,1,0,1,1,1,1,1,0,0
smea.uw.edu,smea.uw.edu,,Target,Web_Domain,1,0,1,1,0,1,0,0,0,0,0
SMEtradeacademy,SMEtradeacademy,,Source,Twitter,0,1,1,0,2,2,1,1,1,0,0
learning.intracen.org,learning.intracen.org,,Target,Web_Domain,1,0,1,2,0,2,0,0,0,0,0
smills721,smills721,,Source,Twitter,0,1,1,0,1,1,1,1,1,0,0
stuartmmills,stuartmmills,,Target,Web_Domain,1,0,1,1,0,1,0,0,0,0,0
SMPCan,SMPCan,,Source,Twitter,0,1,1,0,1,1,1,1,1,0,0
smulian,smulian,,Source,Twitter,0,1,1,0,2,2,1,1,1,0,0
SMWLLP,SMWLLP,,Source,Twitter,0,1,1,0,1,1,1,1,1,0,0
snathan360,snathan360,,Source,Twitter,0,2,2,0,2,2,1,1,1,0,0
SneedCollard,SneedCollard,,Source,Twitter,0,1,1,0,1,1,1,1,1,0,0
Sneggals,Sneggals,,Source,Twitter,0,2,2,0,5,5,1,1,1,0,0
Snigerals,Snigerals,,Source,Twitter,0,2,2,0,3,3,1,1,1,0,0
SNoelWilliams,SNoelWilliams,,Source,Twitter,0,1,1,0,1,1,1,1,1,0,0
Snowball_IM,Snowball_IM,,Source,Twitter,0,1,1,0,2,2,1,1,1,0,0
SnowHydro,SnowHydro,,Source,Twitter,0,2,2,0,3,3,1,1,1,0,0
snuairwear,snuairwear,,Source,Twitter,0,1,1,0,1,1,1,1,1,0,0
So_Utah_Now,So_Utah_Now,,Source,Twitter,0,1,1,0,1,1,1,1,1,0,0
www.soutahnow.com,www.soutahnow.com,,Target,Web_Domain,1,0,1,1,0,1,0,0,0,0,0
soapboxvan,soapboxvan,,Source,Twitter,0,1,1,0,2,2,1,1,1,0,0
soccerben,soccerben,,Source,Twitter,0,1,1,0,2,2,1,1,1,0,0
SOCCOMProject,SOCCOMProject,,Source,Twitter,0,2,2,0,2,2,1,1,1,0,0
Social411Now,Social411Now,,Source,Twitter,0,2,2,0,2,2,1,1,1,0,0
SocialDave,SocialDave,,Source,Twitter,0,1,1,0,2,2,1,1,1,0,0
socialism21,socialism21,,Source,Twitter,0,1,1,0,2,2,1,1,1,0,0
Socialism4Jobs,Socialism4Jobs,,Source,Twitter,0,1,1,0,2,2,1,1,1,0,0
SocialNewsDaily,SocialNewsDaily,,Source,Twitter,0,1,1,0,2,2,1,1,1,0,0
socialnewsdaily.com,socialnewsdaily.com,,Target,Web_Domain,1,0,1,2,0,2,0,0,0,0,0
SocialPowerOne1,SocialPowerOne1,,Source,Twitter,0,1,1,0,2,2,1,1,1,0,0
Society4ConBio,Society4ConBio,,Source,Twitter,0,4,4,0,5,5,1,1,1,0,0
societybeta,societybeta,,Source,Twitter,0,1,1,0,2,2,1,1,1,0,0
SocietyBushland,SocietyBushland,,Source,Twitter,0,1,1,0,1,1,1,1,1,0,0
sociojen,sociojen,,Source,Twitter,0,1,1,0,2,2,1,1,1,0,0
Sociolinguini,Sociolinguini,,Source,Twitter,0,1,1,0,1,1,1,1,1,0,0
sociolinguini.wordpress.com,sociolinguini.wordpress.com,,Target,Web_Domain,1,0,1,1,0,1,0,0,0,0,0
SociologyofCC,SociologyofCC,,Source,Twitter,0,1,1,0,2,2,1,1,1,0,0
SoCoBrands,SoCoBrands,,Source,Twitter,0,1,1,0,1,1,1,1,1,0,0
sodaflux,sodaflux,,Source,Twitter,0,1,1,0,2,2,1,1,1,0,0
soeren_koepke,soeren_koepke,,Source,Twitter,0,1,1,0,1,1,1,1,1,0,0
SoeWsu,SoeWsu,,Source,Twitter,0,1,1,0,2,2,1,1,1,0,0
sofmcveigh,sofmcveigh,,Source,Twitter,0,1,1,0,2,2,1,1,1,0,0
softonic,softonic,,Source,Twitter,0,1,1,0,2,2,1,1,1,0,0
en.softonic.com,en.softonic.com,,Target,Web_Domain,1,0,1,2,0,2,0,0,0,0,0
soheilsh,soheilsh,,Source,Twitter,0,1,1,0,1,1,1,1,1,0,0
www.climateengage.org,www.climateengage.org,,Target,Web_Domain,1,0,1,1,0,1,0,0,0,0,0
SoilAssociation,SoilAssociation,,Source,Twitter,0,2,2,0,4,4,1,1,1,0,0
SoilsAlliance,SoilsAlliance,,Source,Twitter,0,2,2,0,3,3,1,1,1,0,0
www.ecojam.org,www.ecojam.org,,Target,Web_Domain,1,0,1,1,0,1,0,0,0,0,0
Sojo102003,Sojo102003,,Source,Twitter,0,1,1,0,2,2,1,1,1,0,0
SolarAid,SolarAid,,Source,Twitter,0,1,1,0,2,2,1,1,1,0,0
solarcharge_it,solarcharge_it,,Source,Twitter,0,1,1,0,1,1,1,1,1,0,0
solarforgood,solarforgood,,Source,Twitter,0,3,3,0,5,5,1,1,1,0,0
solarvillageorg,solarvillageorg,,Source,Twitter,0,1,1,0,1,1,1,1,1,0,0
SoleilVertMusic,SoleilVertMusic,,Source,Twitter,0,1,1,0,2,2,1,1,1,0,0
solhog,solhog,,Source,Twitter,0,1,1,0,2,2,1,1,1,0,0
SomaliaDirect,SomaliaDirect,,Source,Twitter,0,1,1,0,1,1,1,1,1,0,0
hakimabdi,hakimabdi,,Target,Web_Domain,1,0,1,1,0,1,0,0,0,0,0
SoniCubed,SoniCubed,,Source,Twitter,0,2,2,0,3,3,1,1,1,0,0
earthjustice.org,earthjustice.org,,Target,Web_Domain,1,0,1,1,0,1,0,0,0,0,0
sonnyvu,sonnyvu,,Source,Twitter,0,1,1,0,1,1,1,1,1,0,0
sophfenton,sophfenton,,Source,Twitter,0,3,3,0,6,6,1,1,1,0,0
www.asiaeducation.edu.au,www.asiaeducation.edu.au,,Target,Web_Domain,1,0,1,2,0,2,0,0,0,0,0
sophiabkv,sophiabkv,,Source,Twitter,0,1,1,0,1,1,1,1,1,0,0
SophiaLeonoraM,SophiaLeonoraM,,Source,Twitter,0,1,1,0,2,2,1,1,1,0,0
www3.weforum.org,www3.weforum.org,,Target,Web_Domain,1,0,1,2,0,2,0,0,0,0,0
SophieAHSaunier,SophieAHSaunier,,Source,Twitter,0,1,1,0,1,1,1,1,1,0,0
SophieAujean,SophieAujean,,Source,Twitter,0,1,1,0,1,1,1,1,1,0,0
sophierc1,sophierc1,,Source,Twitter,0,1,1,0,1,1,1,1,1,0,0
sorayaleila,sorayaleila,,Source,Twitter,0,1,1,0,2,2,1,1,1,0,0
SorayaMolinero,SorayaMolinero,,Source,Twitter,0,1,1,0,2,2,1,1,1,0,0
SoulBirdr,SoulBirdr,,Source,Twitter,0,1,1,0,1,1,1,1,1,0,0
www-nytimes-com.cdn.ampproject.org,www-nytimes-com.cdn.ampproject.org,,Target,Web_Domain,1,0,1,1,0,1,0,0,0,0,0
SoulintheCity,SoulintheCity,,Source,Twitter,0,1,1,0,1,1,1,1,1,0,0
Soulpainter105,Soulpainter105,,Source,Twitter,0,1,1,0,2,2,1,1,1,0,0
soulson,soulson,,Source,Twitter,0,1,1,0,1,1,1,1,1,0,0
SoumyaAngelEliz,SoumyaAngelEliz,,Source,Twitter,0,1,1,0,2,2,1,1,1,0,0
SoundbiteCultur,SoundbiteCultur,,Source,Twitter,0,1,1,0,6,6,1,1,1,0,0
SourceBottle,SourceBottle,,Source,Twitter,0,1,1,0,1,1,1,1,1,0,0
www.sourcebottle.com,www.sourcebottle.com,,Target,Web_Domain,1,0,1,1,0,1,0,0,0,0,0
SourceMag,SourceMag,,Source,Twitter,0,1,1,0,2,2,1,1,1,0,0
sourcemagazine.org.uk,sourcemagazine.org.uk,,Target,Web_Domain,1,0,1,2,0,2,0,0,0,0,0
SourceNutra,SourceNutra,,Source,Twitter,0,1,1,0,2,2,1,1,1,0,0
southern_mummy,southern_mummy,,Source,Twitter,0,1,1,0,1,1,1,1,1,0,0
southernarcher,southernarcher,,Source,Twitter,0,1,1,0,2,2,1,1,1,0,0
SowmenMitter,SowmenMitter,,Source,Twitter,0,1,1,0,1,1,1,1,1,0,0
